"date","location","category","payment_location","payment_status","payment_mode","membership_product","gross_member_count","gross_amount"
"2024-06-26","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","7","0.0"
"2024-06-26","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","72","14850.0"
"2024-06-26","JAP","DIRECT","POINT OF SALES","PAID","CARD","6 MONTH","1","900.0"
"2024-06-26","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","2150.0"
"2024-06-26","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2024-06-26","JWM","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","3540.0"
"2024-06-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2024-06-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2024-06-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","1","2100.0"
"2024-06-27","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","15","5200.0"
"2024-06-27","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","99","61350.0"
"2024-06-27","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-06-27","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","6","0.0"
"2024-06-27","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","136","26000.0"
"2024-06-27","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","2","1500.0"
"2024-06-27","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","950.0"
"2024-06-28","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","3","850.0"
"2024-06-28","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","19","9750.0"
"2024-06-28","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","2","0.0"
"2024-06-28","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","7","0.0"
"2024-06-28","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","135","23950.0"
"2024-06-28","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","1550.0"
"2024-06-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2024-06-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2024-06-29","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","1","450.0"
"2024-06-29","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","2","0.0"
"2024-06-29","JAP","DIRECT","POINT OF SALES","FREE","CASH","3 MONTH","1","0.0"
"2024-06-29","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","4","0.0"
"2024-06-29","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","122","24550.0"
"2024-06-29","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","1","1050.0"
"2024-06-29","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","14","3700.0"
"2024-06-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2750.0"
"2024-06-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2024-06-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2250.0"
"2024-06-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","6","14100.0"
"2024-06-30","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","1","150.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","FREE","CASH","3 MONTH","1","0.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","8","0.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","162","31100.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","4","3000.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","10","1700.0"
"2024-06-30","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","450.0"
"2024-06-30","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","420.0"
"2024-07-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","40","5450.0"
"2024-07-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3450.0"
"2024-07-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","4","9300.0"
"2024-07-01","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","10","2300.0"
"2024-07-01","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","116","87300.0"
"2024-07-01","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","6 MONTH","1","2100.0"
"2024-07-01","JAP","DIRECT","POINT OF SALES","FREE","CARD","6 MONTH","1","0.0"
"2024-07-01","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","4","0.0"
"2024-07-01","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","2","300.0"
"2024-07-01","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","143","31500.0"
"2024-07-01","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","4","2400.0"
"2024-07-01","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","1450.0"
"2024-07-01","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1260.0"
"2024-07-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","137","15200.0"
"2024-07-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","700.0"
"2024-07-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2024-07-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","3","7200.0"
"2024-07-02","JAP","CORPORATE","POINT OF SALES","FREE","CASH","6 MONTH","1","0.0"
"2024-07-02","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","8","2450.0"
"2024-07-02","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","37","24150.0"
"2024-07-02","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","6 MONTH","12","10800.0"
"2024-07-02","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-07-02","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","7","0.0"
"2024-07-02","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","140","26600.0"
"2024-07-02","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","16","3400.0"
"2024-07-02","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","450.0"
"2024-07-02","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","840.0"
"2024-07-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","55","7450.0"
"2024-07-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2024-07-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2024-07-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","5","11400.0"
"2024-07-03","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","18","5350.0"
"2024-07-03","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","84","45600.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","2","0.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","5","0.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","350.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","134","26450.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","1","450.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","PAID","CARD","6 MONTH","1","2100.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1350.0"
"2024-07-03","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","900.0"
"2024-07-03","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1260.0"
"2024-07-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","37","9250.0"
"2024-07-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2024-07-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","3","6900.0"
"2024-07-04","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","10","3000.0"
"2024-07-04","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","34","23850.0"
"2024-07-04","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-07-04","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","3","0.0"
"2024-07-04","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","117","22900.0"
"2024-07-04","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","1","450.0"
"2024-07-04","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","900.0"
"2024-07-04","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","420.0"
"2024-07-04","JWM","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","3780.0"
"2024-07-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","37","4550.0"
"2024-07-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","4500.0"
"2024-07-05","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","12","2800.0"
"2024-07-05","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","25","13050.0"
"2024-07-05","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-07-05","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","6","0.0"
"2024-07-05","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","108","22250.0"
"2024-07-05","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","450.0"
"2024-07-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","117","14250.0"
"2024-07-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3300.0"
"2024-07-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","7","15900.0"
"2024-07-06","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","6","1700.0"
"2024-07-06","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","30","16500.0"
"2024-07-06","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","6 MONTH","1","2100.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","2","0.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","3","0.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","FREE","CASH","3 MONTH","1","0.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","3","0.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","118","24250.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","2","900.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","1300.0"
"2024-07-06","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","1500.0"
"2024-07-06","JWM","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","3780.0"
"2024-07-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","100","15700.0"
"2024-07-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2024-07-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","7","7800.0"
"2024-07-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","9","20100.0"
"2024-07-07","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","11","2650.0"
"2024-07-07","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","22","13650.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","37","0.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","FREE","CASH","3 MONTH","1","0.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","3","0.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","150.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","135","26400.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","1","450.0"
"2024-07-07","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","16","3000.0"
"2024-07-07","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","420.0"
"2024-07-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","55","7950.0"
"2024-07-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","2","1400.0"
"2024-07-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3150.0"
"2024-07-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","4800.0"
"2024-07-08","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","14","4150.0"
"2024-07-08","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","30","23250.0"
"2024-07-08","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","7","0.0"
"2024-07-08","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","350.0"
"2024-07-08","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","98","20100.0"
"2024-07-08","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","3","1950.0"
"2024-07-08","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","1950.0"
"2024-07-08","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","4","3600.0"
"2024-07-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","51","7750.0"
"2024-07-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","6","6750.0"
"2024-07-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","8","18600.0"
"2024-07-09","JAP","CORPORATE","POINT OF SALES","FREE","BOTH","6 MONTH","1","0.0"
"2024-07-09","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","32","8600.0"
"2024-07-09","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","34","22500.0"
"2024-07-09","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","3","0.0"
"2024-07-09","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","7","0.0"
"2024-07-09","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","350.0"
"2024-07-09","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","108","21950.0"
"2024-07-09","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","1","450.0"
"2024-07-09","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","2150.0"
"2024-07-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","43","6900.0"
"2024-07-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2250.0"
"2024-07-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","5","11400.0"
"2024-07-10","JAP","CORPORATE","POINT OF SALES","FREE","BOTH","6 MONTH","1","0.0"
"2024-07-10","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","10","2100.0"
"2024-07-10","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","21","14100.0"
"2024-07-10","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","6 MONTH","1","900.0"
"2024-07-10","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-07-10","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","3","0.0"
"2024-07-10","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","111","23000.0"
"2024-07-10","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","3","2550.0"
"2024-07-10","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","1550.0"
"2024-07-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","18","4000.0"
"2024-07-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","3","2400.0"
"2024-07-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","5","5550.0"
"2024-07-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","7","15900.0"
"2024-07-11","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","22","5100.0"
"2024-07-11","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","49","27450.0"
"2024-07-11","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-07-11","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-07-11","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","5","0.0"
"2024-07-11","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","2","700.0"
"2024-07-11","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","109","21350.0"
"2024-07-11","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","8","1800.0"
"2024-07-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2024-07-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2024-07-12","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","24","4200.0"
"2024-07-12","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","17","11850.0"
"2024-07-12","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-07-12","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","3","0.0"
"2024-07-12","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","150.0"
"2024-07-12","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","69","12300.0"
"2024-07-12","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","8","1800.0"
"2024-07-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","10","2750.0"
"2024-07-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2024-07-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","4","9300.0"
"2024-07-13","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","30","4900.0"
"2024-07-13","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","26","15900.0"
"2024-07-13","JAP","CORPORATE","POINT OF SALES","PAID","CARD","1 MONTH","1","150.0"
"2024-07-13","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-07-13","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","6","0.0"
"2024-07-13","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","96","17100.0"
"2024-07-13","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","8","1800.0"
"2024-07-13","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","420.0"
"2024-07-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","13","2750.0"
"2024-07-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","2","1500.0"
"2024-07-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2024-07-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","4","9300.0"
"2024-07-14","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","31","5050.0"
"2024-07-14","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","29","16650.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","FREE","CASH","12 MONTH","1","0.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","FREE","CASH","3 MONTH","1","0.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","7","0.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","99","19850.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","3","1950.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","PAID","CARD","6 MONTH","1","900.0"
"2024-07-14","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","10","2100.0"
"2024-07-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","1900.0"
"2024-07-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3600.0"
"2024-07-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","4800.0"
"2024-07-15","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","22","4500.0"
"2024-07-15","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","12 MONTH","1","4200.0"
"2024-07-15","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","24","14400.0"
"2024-07-15","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","5","0.0"
"2024-07-15","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","150.0"
"2024-07-15","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","88","17100.0"
"2024-07-15","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","12","2000.0"
"2024-07-15","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","1350.0"
"2024-07-15","JWM","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1085.0"
"2024-07-16","AHP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","350.0"
"2024-07-16","AHP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","1","2100.0"
"2024-07-16","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2050.0"
"2024-07-16","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","4","9000.0"
"2024-07-16","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","15","3400.0"
"2024-07-16","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","31","22350.0"
"2024-07-16","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","6 MONTH","2","4200.0"
"2024-07-16","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","1","0.0"
"2024-07-16","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","4","0.0"
"2024-07-16","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","80","15600.0"
"2024-07-16","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","4","2400.0"
"2024-07-16","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","1750.0"
"2024-07-16","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","450.0"
"2024-07-16","JWM","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","1","1890.0"
"2024-07-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","600.0"
"2024-07-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","4500.0"
"2024-07-17","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","9","1950.0"
"2024-07-17","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","37","19050.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","FREE","CARD","1 MONTH","1","0.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","2","0.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","FREE","CASH","3 MONTH","1","0.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","9","0.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","PAID","BOTH","1 MONTH","1","350.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","161","27150.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","4","2400.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","10","1500.0"
"2024-07-17","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2024-07-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","1450.0"
"2024-07-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2400.0"
"2024-07-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","2","4500.0"
"2024-07-18","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","12","2800.0"
"2024-07-18","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","26","15300.0"
"2024-07-18","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","6 MONTH","2","1800.0"
"2024-07-18","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","14","0.0"
"2024-07-18","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","103","20850.0"
"2024-07-18","JAP","DIRECT","POINT OF SALES","PAID","CARD","3 MONTH","1","450.0"
"2024-07-18","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","2250.0"
"2024-07-18","JAP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","14","7500.0"
"2024-07-18","JWM","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","420.0"
"2024-07-19","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","8","1800.0"
"2024-07-19","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","3 MONTH","20","13950.0"
"2024-07-19","JAP","DIRECT","POINT OF SALES","FREE","CASH","1 MONTH","3","0.0"
"2024-07-19","JAP","DIRECT","POINT OF SALES","FREE","CASH","6 MONTH","5","0.0"
"2024-07-19","JAP","DIRECT","POINT OF SALES","PAID","CARD","1 MONTH","75","14250.0"
"2024-07-19","JAP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","8","1800.0"
"2024-07-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2024-07-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","6 MONTH","1","2100.0"
"2024-07-20","JAP","CORPORATE","POINT OF SALES","PAID","BOTH","1 MONTH","9","1750.0"
